birdFamily,reflection
"Accipitridae: Kites, Hawks & Eagles","Birds in this family are known for their hooked beaks, which allows them to eat a varied diet, including fish, insects, mammals, and even other birds. They also have flight patterns with a few quick wingbeats and a long glide, which allows them to be surprisingly agile given their size. All of the birds in this section most commonly occur during Ordinary Time, with some additionally showing up during Ephipany and Lent. While these birds are typical to see in their seasons, you may not see them every day. We find that we still have an involuntary gasp when we see the size and power these birds in the wild."
Alaudidae: Larks,"Birds in this category eat seeds and insects and tend to be on the ground rather than in trees or bushes. Unlike other birds of its size, it usually walks or runs along open ground instead of hopping. Only one bird in this family occurs near Corhaven: the Horned Lark, which does actually have 'horns'."
Alcedinidae: Kingfishers,"Members of this fun family have large heads, long, sharp, pointed bills, short legs, and stubby tails. You will often find them perched on bare branches just above the water, where they keep an eye out for fish. In our experience, Kingfishers are quiet and solitary until they decide to make themselves known."
"Anatidae: Swans, Geese & Ducks","Even those new to birding have likely identified some of the birds in this category before. Gregarious, chatty, and sometimes seemingly ubiquitous, these birds have big bodies, webbed feet, and a flat bill that helps them with their mostly aquatic diet. They generally prefer still water. Many of the birds in this category are not common during Ordinary Time, making the sighting of these birds during their liturgical seasons truly a gift."
Apodidae: Swifts,"The swifts are a large family of specialized aerial insectivores that have long, finlike wings and torpedolike bodies. Their agility is truly a gift to witness. Start to look for these birds starting at Easter."
"Ardeidae: Bitterns, Herons & Egrets",You usually know if you are seeing one of the birds in these families; they tend to stand still and patiently allow even the newest birder a chance to positively identify them. You can usually find these large birds gracefully wading in calm water.
Bombycillidae: Waxwings,"Waxwings have crests on their heads, black face masks, and soft brownish-gray feathers. The single species commonly found near Corhaven, the Cedar Waxwing, has a unique red tip on the end of their wings and a yellow tip on their tails. In our experience, they pass through in gregarious flocks and rarely stay still as a group, especially when there are berries around."
"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels","These large songbirds have strong bills to help them eat seeds. The birds in this family have vibrant colors, especially breeding males. The vibrancy of these birds, especially those that occur during Easter, after a long and grey winter, is a welcome gift."
Cathartidae: New World Vultures,"Birds in this family are very large soaring birds with a distinctive bald head - either red or black. When they are in the air, you can tell them apart from other soaring birds because they have a slight wobble to them due to their smaller size. These scavengers support the ecosystem by breaking down carcasses as they eat them."
Charadriidae: Plovers,"Plovers are a personal favorite of Evelyn's. These small birds run and stop abruptly when foraging, and are often found on ground very near water. Of the two plovers that have been identified near Corhaven, they can be distinguished by the number of black stripes on the neck."
Columbidae: Pigeons and Doves,"It is hard to mistake these birds for anything else. Admittedly, I am not a big fan of these birds, especially pigeons. These are, in my opinion, perhaps the most ordinary birds of all, yet their ability to adapt and thrive in a variety of environments truly speaks to their robust determination. "
"Corvidae: Jays, Crows & Magpies","Corvids display remarkable intelligence for animals of their size and are among the most intelligent birds thus far studied. They are medium to large in size, with strong feet and bills, rictal bristles, and a single moult each year (most passerines moult twice)"
Falconidae: Falcons,"birds of prey They have strongly hooked bills, sharply curved talons and excellent eyesight. The plumage is usually composed of browns, whites, chestnut, black and grey, often with barring of patterning."
"Fringillidae: Siskins, Crossbills & Allies",small seed-eating birds throughout
Hirundinidae: Martins and Swallows,Birds in this family eat insects and they catch their prey in the air.
"Icteridae: Blackbirds, Meadowlarks & Orioles","They have strong, pointed conical bills and long, pointed wings.

They vary in color from the glossy black of blackbirds to the bright yellow and orange of the oriole. Females are usually smaller and duller than males.

Most birds in this family forage on the ground for insects and seeds."
"Laridae: Gulls, Terns & Skimmers",NA
"Mimidae: Catbirds, Mockingbirds & Thrashers","The birds in this family are known for their vocalizations. Some, like the northern mockingbird, have the ability to mimic the calls of other birds and even the sounds of cats, cars, and other sounds!
The birds in this family are medium-sized, usually between 8-12 inches in length. They are usually gray to brown in color and have small to medium bills; long legs; short, rounded wings; and a long tail. "
Motacillidae: Pipits,"They are 5-9 inches in length and have long, slender bodies, thin, pointed bills, and medium to long tails. Pipits are usually a streaked or mottled brown in color. Wagtails are more brightly colored in shades of gray, white, yellow, orange, and green.

Wagtails and pipits are ground dwellers and eat insects, spiders, and some plant matter. "
Paridae: Chickadees and Titmice,"They are small birds between 3-8 inches in length. They have short to medium length rounded wings; short to long tails; long toes; and short, stout bills."
Parulidae: Wood Warblers,"New World warblers are small birds between 4-7 inches in length. They have pointed wings and slender, pointed bills that are flattened. They are usually olive-brown or gray in color and are sometimes patterned with red, yellow, blue, black, or white patches.

New World warblers eat insects, seeds, berries, and fruits. They are found in forests and brushlands and spend most of their time in trees. Most species are migratory."
Passerellidae: New World Sparrows and Towhees,"The birds in this family are native to North and South America. They were once part of the Emberizidae family, but were put into their own family in 2017.

The birds in this family are seed eaters and have sturdy, finch-like bills."
Passeridae: Old World Sparrows,"Birds in this family are found in open habitats like woodlands, wetlands, grasslands, and agricultural areas and are frequently found in urban and suburban areas. They are small birds, between 5-7 inches in length. They have short, thick bills; short, pointed wings; short legs; and stocky bodies. Most species are brown or gray in color with black or white markings. Males are usually larger than females and more brightly colored.

The birds in this family usually feed in flocks and eat insects, seeds, fruits, and berries. American sparrows and Old World sparrows are not closely related."
Picidae: Woodpeckers,"Includes the Pileated Woodpecker, a favorite of Bill's and a cousin of ""The Lord God Bird"" (Ivory-billed Woodpecker"")."
Scolopacidae: Sandpipers,NA
Sittidae: Nuthatches,They are found in forests where they climb up and down on tree trunks probing for insects in the bark. They can even climb down trees head first!
Strigidae: Typical Owls,NA
Sturnidae: Starlings,"The birds in this order have a long, cone-shaped bills; long, pointed wings; glossy feathers with a metallic sheen; and short tails. Most of the birds in this family gather in flocks and are very noisy! Most species forage for food on the ground and eat insects and seeds. The European starling was introduced to North America in the 1890s when about 100 of them were let loose in Central Park in New York City by a group that wanted to establish in North America all of the birds mentioned in Shakespeare's works. Since then the European starling has spread to all parts of the United States, most of Canada, and parts of Northern Mexico. It is estimated that there are over 200 million of them in North America. ."
Trochilidae: Hummingbirds,NA
Troglodytidae: Wrens,"They are small birds between 3.5-8.5 inches in length. They have slender, long downcurved bills; short, rounded wings; and a short square or rounded tail."
Turdidae: Thrushes,"The birds in this family are small to medium-sized, between 4.5-13 inches in length. They have slender bills; short, rounded or pointed wings; and medium-sized tails.

The birds in this family come in a variety of colors and patterns including brown, blue, gray, and black. They often have patches of red, orange, white, or yellow. They eat fruit, berries, insects, seeds, leaves, and worms."
Tyrannidae: Tyrant Flycatchers,"Tyrant flycatchers are small to medium-sized birds between 3-16 inches in length. They are usually gray, brown or olive-green in color, although some species are more brightly colored.

Some species have crests that are more colorful than the rest of their plumage. Tyrant flycatchers eat insects."
