comName,order,birdFamily,scientificName
Black-bellied Whistling-Duck,Anseriformes,"Anatidae: Swans, Geese & Ducks",Dendrocygna autumnalis
West Indian Whistling-Duck,Anseriformes,"Anatidae: Swans, Geese & Ducks",Dendrocygna arborea
Fulvous Whistling-Duck,Anseriformes,"Anatidae: Swans, Geese & Ducks",Dendrocygna bicolor
Snow Goose,Anseriformes,"Anatidae: Swans, Geese & Ducks",Anser caerulescens
Snow Goose (Lesser),Anseriformes,"Anatidae: Swans, Geese & Ducks",Anser caerulescens caerulescens
Snow Goose (Greater),Anseriformes,"Anatidae: Swans, Geese & Ducks",Anser caerulescens atlanticus
Ross's Goose,Anseriformes,"Anatidae: Swans, Geese & Ducks",Anser rossii
Greater White-fronted Goose,Anseriformes,"Anatidae: Swans, Geese & Ducks",Anser albifrons
Brant,Anseriformes,"Anatidae: Swans, Geese & Ducks",Branta bernicla
Barnacle Goose,Anseriformes,"Anatidae: Swans, Geese & Ducks",Branta leucopsis
Cackling Goose,Anseriformes,"Anatidae: Swans, Geese & Ducks",Branta hutchinsii
Canada Goose,Anseriformes,"Anatidae: Swans, Geese & Ducks",Branta canadensis
Mute Swan,Anseriformes,"Anatidae: Swans, Geese & Ducks",Cygnus olor
Trumpeter Swan,Anseriformes,"Anatidae: Swans, Geese & Ducks",Cygnus buccinator
Tundra Swan,Anseriformes,"Anatidae: Swans, Geese & Ducks",Cygnus columbianus
Wood Duck,Anseriformes,"Anatidae: Swans, Geese & Ducks",Aix sponsa
Garganey,Anseriformes,"Anatidae: Swans, Geese & Ducks",Spatula querquedula
Blue-winged Teal,Anseriformes,"Anatidae: Swans, Geese & Ducks",Spatula discors
Cinnamon Teal,Anseriformes,"Anatidae: Swans, Geese & Ducks",Spatula cyanoptera
Northern Shoveler,Anseriformes,"Anatidae: Swans, Geese & Ducks",Spatula clypeata
Gadwall,Anseriformes,"Anatidae: Swans, Geese & Ducks",Mareca strepera
Eurasian Wigeon,Anseriformes,"Anatidae: Swans, Geese & Ducks",Mareca penelope
American Wigeon,Anseriformes,"Anatidae: Swans, Geese & Ducks",Mareca americana
Mallard,Anseriformes,"Anatidae: Swans, Geese & Ducks",Anas platyrhynchos
American Black Duck,Anseriformes,"Anatidae: Swans, Geese & Ducks",Anas rubripes
Mottled Duck,Anseriformes,"Anatidae: Swans, Geese & Ducks",Anas fulvigula
White-cheeked Pintail,Anseriformes,"Anatidae: Swans, Geese & Ducks",Anas bahamensis
Northern Pintail,Anseriformes,"Anatidae: Swans, Geese & Ducks",Anas acuta
