birdFamily,comName,speciesCode,typicalSeason
"Accipitridae: Kites, Hawks & Eagles",Bald Eagle,baleag,Ordinary Time (late)
"Accipitridae: Kites, Hawks & Eagles",Cooper's Hawk,coohaw,Ordinary Time (early)
"Accipitridae: Kites, Hawks & Eagles",Cooper's Hawk,coohaw,Ordinary Time (late)
"Accipitridae: Kites, Hawks & Eagles",Red-shouldered Hawk,reshaw,Epiphany
"Accipitridae: Kites, Hawks & Eagles",Red-tailed Hawk,rethaw,Epiphany
"Accipitridae: Kites, Hawks & Eagles",Red-tailed Hawk,rethaw,Lent
Alaudidae: Larks,Horned Lark,horlar,Epiphany
Alcedinidae: Kingfishers,Belted Kingfisher,belkin1,Ordinary Time (early)
"Anatidae: Swans, Geese & Ducks",American Black Duck,ambduc,Advent
"Anatidae: Swans, Geese & Ducks",American Wigeon,amewig,Lent
"Anatidae: Swans, Geese & Ducks",Blue-winged Teal,buwtea,Lent
"Anatidae: Swans, Geese & Ducks",Canada Goose,cangoo,Epiphany
"Anatidae: Swans, Geese & Ducks",Canvasback,canvas,Lent
"Anatidae: Swans, Geese & Ducks",Common Merganser,commer,Epiphany
"Anatidae: Swans, Geese & Ducks",Gadwall,gadwal,Lent
"Anatidae: Swans, Geese & Ducks",Green-winged Teal,gnwtea,Advent
"Anatidae: Swans, Geese & Ducks",Hooded Merganser,hoomer,Epiphany
"Anatidae: Swans, Geese & Ducks",Hooded Merganser,hoomer,Lent
"Anatidae: Swans, Geese & Ducks",Mallard,mallar3,Lent
"Anatidae: Swans, Geese & Ducks",Northern Shoveler,norsho,Lent
"Anatidae: Swans, Geese & Ducks",Ring-necked Duck,rinduc,Advent
"Anatidae: Swans, Geese & Ducks",Ruddy Duck,rudduc,Easter
"Anatidae: Swans, Geese & Ducks",Tundra Swan,tunswa,Lent
"Anatidae: Swans, Geese & Ducks",Wood Duck,wooduc,Lent
Apodidae: Swifts,Chimney Swift,chiswi,Ordinary Time (late)
"Ardeidae: Bitterns, Herons & Egrets",Great Blue Heron,grbher3,Ordinary Time (early)
"Ardeidae: Bitterns, Herons & Egrets",Great Egret,greegr,Ordinary Time (early)
"Ardeidae: Bitterns, Herons & Egrets",Green Heron,grnher,Ordinary Time (early)
Bombycillidae: Waxwings,Cedar Waxwing,cedwax,Ordinary Time (late)
Caprimulgidae: Goatsuckers,Common Nighthawk,comnig,Ordinary Time (late)
"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Blue Grosbeak,blugrb1,Ordinary Time (early)
"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Indigo Bunting,indbun,Ordinary Time (early)
"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Northern Cardinal,norcar,Ordinary Time (early)
"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Rose-breasted Grosbeak,robgro,Ordinary Time (early)
"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",Scarlet Tanager,scatan,Easter
Cathartidae: New World Vultures,Black Vulture,blkvul,Ordinary Time (early)
Cathartidae: New World Vultures,Turkey Vulture,turvul,Ordinary Time (late)
Charadriidae: Plovers,Killdeer,killde,Ordinary Time (late)
Charadriidae: Plovers,Semipalmated Plover,semplo,Easter
Columbidae: Pigeons and Doves,Mourning Dove,moudov,Ordinary Time (early)
"Corvidae: Jays, Crows & Magpies",American Crow,amecro,Ordinary Time (late)
"Corvidae: Jays, Crows & Magpies",Blue Jay,blujay,Ordinary Time (late)
"Corvidae: Jays, Crows & Magpies",Common Raven,comrav,Lent
"Corvidae: Jays, Crows & Magpies",Fish Crow,fiscro,Ordinary Time (late)
Cuculidae: Cuckoos and Anis,Yellow-billed Cuckoo,yebcuc,Ordinary Time (early)
Falconidae: Falcons,American Kestrel,amekes,Ordinary Time (late)
"Fringillidae: Siskins, Crossbills & Allies",American Goldfinch,amegfi,Ordinary Time (early)
"Fringillidae: Siskins, Crossbills & Allies",House Finch,houfin,Ordinary Time (early)
"Fringillidae: Siskins, Crossbills & Allies",Purple Finch,purfin,Ordinary Time (late)
Hirundinidae: Martins and Swallows,Bank Swallow,banswa,Ordinary Time (early)
Hirundinidae: Martins and Swallows,Barn Swallow,barswa,Ordinary Time (early)
Hirundinidae: Martins and Swallows,Cliff Swallow,cliswa,Ordinary Time (early)
