birdFamily,comName,speciesCode,liturgicalSeason_collapsed
"Accipitridae: Kites, Hawks & Eagles",Bald Eagle,baleag,Ordinary Time
"Accipitridae: Kites, Hawks & Eagles",Cooper's Hawk,coohaw,Ordinary Time
"Accipitridae: Kites, Hawks & Eagles",Red-shouldered Hawk,reshaw,Epiphany
"Accipitridae: Kites, Hawks & Eagles",Red-tailed Hawk,rethaw,Ordinary Time
Alaudidae: Larks,Horned Lark,horlar,Epiphany
Alcedinidae: Kingfishers,Belted Kingfisher,belkin1,Ordinary Time
"Anatidae: Swans, Geese & Ducks",American Black Duck,ambduc,Advent
"Anatidae: Swans, Geese & Ducks",American Wigeon,amewig,Lent
"Anatidae: Swans, Geese & Ducks",Blue-winged Teal,buwtea,Lent
"Anatidae: Swans, Geese & Ducks",Canada Goose,cangoo,Epiphany
"Anatidae: Swans, Geese & Ducks",Canvasback,canvas,Lent
"Anatidae: Swans, Geese & Ducks",Common Merganser,commer,Epiphany
"Anatidae: Swans, Geese & Ducks",Gadwall,gadwal,Lent
"Anatidae: Swans, Geese & Ducks",Green-winged Teal,gnwtea,Advent
"Anatidae: Swans, Geese & Ducks",Hooded Merganser,hoomer,"Epiphany, Lent"
"Anatidae: Swans, Geese & Ducks",Mallard,mallar3,"Lent, Ordinary Time"
"Anatidae: Swans, Geese & Ducks",Northern Shoveler,norsho,Lent
"Anatidae: Swans, Geese & Ducks",Ring-necked Duck,rinduc,Advent
"Anatidae: Swans, Geese & Ducks",Ruddy Duck,rudduc,Easter
"Anatidae: Swans, Geese & Ducks",Tundra Swan,tunswa,Lent
"Anatidae: Swans, Geese & Ducks",Wood Duck,wooduc,"Lent, Ordinary Time"
Apodidae: Swifts,Chimney Swift,chiswi,Ordinary Time
"Ardeidae: Bitterns, Herons & Egrets",Great Blue Heron,grbher3,Ordinary Time
"Ardeidae: Bitterns, Herons & Egrets",Great Egret,greegr,Ordinary Time
"Ardeidae: Bitterns, Herons & Egrets",Green Heron,grnher,Ordinary Time
Bombycillidae: Waxwings,Cedar Waxwing,cedwax,Ordinary Time
